layer,metric,mean,std,n
0,l1_dist,321.29457431793213,466.7285231660372,1000
0,l2_dist,110.41124457883835,171.58976591713528,1000
0,cosine_dist,0.9144271577680484,0.17413193035491062,1000
0,slang_only_features,12.893,15.233829164067712,1000
0,literal_only_features,2.825,12.88752788551784,1000
0,shared_features,0.932,1.8834479021199393,1000
0,slang_active,13.825,15.85964611837225,1000
0,literal_active,3.757,13.798403929440536,1000
1,l1_dist,315.76429667472837,462.52256214484055,1000
1,l2_dist,104.2598712735176,127.04354010672495,1000
1,cosine_dist,0.5235180812850595,0.3204997847588733,1000
1,slang_only_features,11.473,14.404349030761509,1000
1,literal_only_features,2.746,12.990053271638265,1000
1,shared_features,1.335,1.479450911656078,1000
1,slang_active,12.808,15.040184041427153,1000
1,literal_active,4.081,13.72626821098874,1000
2,l1_dist,566.4124968528747,519.6438224272855,1000
2,l2_dist,132.55507888031005,99.15104555331455,1000
2,cosine_dist,0.6728318969500251,0.19676210643179207,1000
2,slang_only_features,21.821,17.557931512567194,1000
2,literal_only_features,4.954,12.23674319416731,1000
2,shared_features,3.442,2.870650797293185,1000
2,slang_active,25.263,18.496373455356053,1000
2,literal_active,8.396,13.95740606273243,1000
3,l1_dist,752.7343872299194,595.203670234165,1000
3,l2_dist,154.72593024635316,85.92728328102955,1000
3,cosine_dist,0.7861289398181253,0.15587560799823694,1000
3,slang_only_features,26.654,19.71172960447662,1000
3,literal_only_features,6.999,12.221906520670169,1000
3,shared_features,4.935,3.636038366134219,1000
3,slang_active,31.589,21.024463821938483,1000
3,literal_active,11.934,14.437369705039764,1000
4,l1_dist,917.6548215332032,645.2646458599909,1000
4,l2_dist,168.8436354560852,81.27779115437555,1000
4,cosine_dist,0.648476566508878,0.16770944617786035,1000
4,slang_only_features,30.738,19.707139721430913,1000
4,literal_only_features,7.69,13.036099876880355,1000
4,shared_features,7.108,4.6622243618255865,1000
4,slang_active,37.846,20.70937671684013,1000
4,literal_active,14.798,16.058368410271324,1000
5,l1_dist,975.6878692169189,696.0595700449038,1000
5,l2_dist,177.74786247634887,87.52806599354683,1000
5,cosine_dist,0.7114130213540047,0.1668005748898671,1000
5,slang_only_features,33.341,20.905614532943055,1000
5,literal_only_features,6.376,12.84572395780012,1000
5,shared_features,5.852,4.518196100215217,1000
5,slang_active,39.193,21.88400674008304,1000
5,literal_active,12.228,15.96903303271679,1000
6,l1_dist,1110.0298327789308,841.8742436435859,1000
6,l2_dist,214.1454166698456,100.7441076187944,1000
6,cosine_dist,0.7960308450125158,0.17204483123329603,1000
6,slang_only_features,31.672,21.30029145340505,1000
6,literal_only_features,6.379,13.863598342421783,1000
6,shared_features,3.804,4.195900856788683,1000
6,slang_active,35.476,22.4086015627928,1000
6,literal_active,10.183,16.839462907111976,1000
7,l1_dist,1267.6389589538574,852.2148202529102,1000
7,l2_dist,219.11559733200073,100.7882740918702,1000
7,cosine_dist,0.7880887654302642,0.15625970640881265,1000
7,slang_only_features,34.679,20.227356698293526,1000
7,literal_only_features,9.711,13.780474556414957,1000
7,shared_features,5.347,5.348886893550844,1000
7,slang_active,40.026,21.508354748794712,1000
7,literal_active,15.058,17.78360582109264,1000
8,l1_dist,1917.5501503601074,929.6151928116715,1000
8,l2_dist,260.8691603927612,97.80304432038903,1000
8,cosine_dist,0.6868408153578639,0.148897182265876,1000
8,slang_only_features,48.923,19.5986497238968,1000
8,literal_only_features,13.186,14.69072510123309,1000
8,shared_features,13.094,9.406230063101795,1000
8,slang_active,62.017,21.037364640087407,1000
8,literal_active,26.28,21.831069602747366,1000
